"sector-type","post_title","p_owner","p_client","disciplines","p_location","scope_of_work","project-category","p_status","p_start_date","p_end_date","p_year","feature image","feature image_url"
"Mining & Minerals","Installation of New Seed Filtrate Pump (461F-PUFI-1171)","MA'ADEN","Ma'aden Aluminium","Plant Services","Ras Al-Khair","The scope of work is to install new pump (461F-PUFI-1171) of same sizing (12/10 with 400 Kw) in current Seed Filtrate pumps Circuit. It involves several activities such as construction of new foundation, trench, temporary bund wall, installation of new supports, modification of existing supports. It also includes Fabricatation and installation of new Nozzels, suction and discharge piping, valves and Extension of gland water piping to new Pump location. It also includes supply and installation of power cables, grounding cables, VSD, ACB, Bus-ties, profibus cable, and testing and commissioning of the activities. ","Normal","Ongoing","Sep-19","May-20","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/18.png"
"Oil & Gas","Valve Inspection and Valve Overhaul Works for PRC 2020 Turn Around Project ","Petro Rabigh","GS E & C","Valve Repair & Testing Services","Yanbu","The project scope consists of two activities. These are: 
Inspection and Stroke test: 
1. Disconnect/Install instrument and electrical connections of valves that require overhauling. 
2. Field stroke test of valves by using Fluke valve testers.
3. Diesel Generator for the electrical actuator stroke test.
Overhauling activities: 
1. Cleaning of Valve before dismantling for removing of chemical contamination.
2. Dismantling of valve and Cleaning of trim parts.
3. Lapping of Body seats, disc/ball seat and Assembly of Valve.
4. Hydro testing of valve as per API 598 and ANSI FCI 70-2.
5. Preparation of hydro test report of valve.  ","Normal","Ongoing","Nov-19","Apr-20","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/31.png"
"Oil & Gas","Rental/Supply/Services of Miscellaneous Tools for Bolt Torquing for  Turn Around 2020","Petro Rabigh","GS E & C","Bolt Integrity Solutions","Yanbu","The scope of work is to carry-out bolt torquing and tensioning activities for the PetroRabig company (PRC) T/A 2020. It also involes provision of Hydraulic Winch, Flange Spreader, nut splitter and serration activities on required basis. ","Normal","Ongoing","Dec-19","Apr-20","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/31.png"
"Petrochemical","Supply of Blast Proof Porta-cabins & Ablution Units for EGDMC Plant SD'2020, SAUDI KAYAN ","SABIC","SAUDI KAYAN","Blast Resistant Modules","Jubail","The scope of work is to provide Blast / Explosion proof porta-cabins (units) along with ablution units, diesel generators, normal porta-cabins along with the provision of diesel fuel and operators. ","Normal","Ongoing","Dec-19","Mar-20","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/2.png"
"Petrochemical","Supply of Heaters for SADARA","SADARA","Sadara","Electrical & Instrumentation","Jubail","The scope of work is to supply Circulation heater for nitrogen gas c/w. It has features of: 
- 2” fiber glass thermal insulation encased in painted steel jacket
- ANSI 1”-150lb SORF flanged inlet & outlet nozzle. ","Normal","Ongoing","Nov-19","Mar-20","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
"Petrochemical","Independent Line for PK BoG Project // PK Tail Gas Pgase II // MOC-5471, SP-191400011","SABIC","Ar-Razi","Plant Services","Jubail","The scope of work is procurement, fabrication, installation of piping, electrical, instrumentaiton, civil, structural, and architectural works for the PK Tail Gas Project. It invlves demolition of existing lines, installation of modified lines, control valves, pipe supports, NDE, RT and PT. It also includes suppply of power for CP, associated instruments, pressure transmitters, excavation & backfilling for U/G pipes, steel structures as well as asphalt concrete paving road works. ","Normal","Ongoing","Nov-19","Apr-20","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/11.png"
"Petrochemical","Consolidated Design Gap Rectification Modifications","SADARA","Sadara","Electrical & Instrumentation","Jubail","The scope of work is design, engineering (by OEM), procurement, suppply and installation of EHT materials. It also includes installation of Heating Tracing System on Polyols Pipeline, Power JBs, RTD sensor, DP power, splice kit for T0joints, binding tapes, conduits, trays, cable glands, new insulations, cladding, scaffodling, and as well as testing and commissioning services for the installed items. ","Normal","Ongoing","Nov-19","May-20","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
"Oil & Gas","Replace Water Chemeical Injuction System at Abqaiq Plant","Saudi Aramco","Abqaiq Plant","Plant Services","Abqaiq","The scope of work is design, engineering, supply and installation of thirteen (13) chemical injection skids. Each chemical injection skid will include controlled volume pumps, tanks, agitators, gauges, strainer, filter, pressure relief valves, sight glasses, flow metering / monitoring devices, valves and associated piping accessories along with thirteen (13) static mixers (one for each chemical skid). 
The Fire Protection & Detection system includes FF equipment, fire monitor, fire hose & reel, fire extinguishers, Connectivity for Monitoring between the Fire Devices inside Analyzer Shelter & High sensitivity smoke detectors (HSSD) for associated New DCS System Cabinets to the DCS and existing FACP systems. 
Electrical and instrumentation includes power supply to all skids, lighting works, extension of existing control gears, circuit breakers, motor controllers, dry type transformers, and grounding of the equipments along with DCS, HMI, DAHS, and other control and automation activities. It also includes provision of foundation for steel structure shed, relocation of smoking shelter, conductivity analyzers, environmentally controlled analyzer shelter . ","Major","Ongoing","Dec-19","Mar-21","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Oil & Gas","Replacement of MAC Motor and Exciters at Phase 5 during Emergency S/D","SABIC","Gas Jubail","Plant Services","Jubail","The scope of work is replacement of MAC motor during emergency S/D. It involves preparation of new motor for lifting using 700 Ton crane to the prescribed locaiton. Removal of the old motor from an elevated lovel using the overhead crane and installation of new motor to the compressor. ","Normal","Ongoing","Dec-19","Dec-19","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/17.png"
"Oil & Gas","MFC: FLANGES TORQUEING AND TENSIONING SRU T&Is ","Saudi Aramco","Uthmaniyah Gas Plant ","Bolt Integrity Solutions","Uthmaniyah","The scope of work is provision of manpower, tools and necessary equipment for the loosening, tightening of blinds, manways, flanges and covers. The activity has to be carried out in the three years duraiton to be utilized for various T&Is of UGP. ","Normal","Ongoing","Dec-19","Dec-22","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Petrochemical","Coupling Repair for Sea Water Pump P-5615 in Plant-V","SABIC","Ar-Razi","Rotating Equipment & Pump Repair","Jubail","The scope of work is repair of coupling for the Sea Water pump in Plant-V. It includes manufacturing of SHIM set, balancing and testing of the same after the repair is completed. ","Normal","Ongoing","Jan-20","Mar-20","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/17.png"
"Petrochemical","MRO Warehouse Operation Services Contract LFC (5 Years)","SADARA","Sadara","Human Resorce Services","Jubail","The scope of work is provision of manpower, supervision, tools, and such materials that may be required to perform the warehouse operation activities and preservation services of all identified materials (Equipment). The activities shall be carried out in the MRO facilities Warehouses and Laydown Areas.","Normal","Ongoing","Jan-20","Jan-25","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
"Oil & Gas","Supply & Rental of Blast Proof Portables (BRM) ","Saudi Aramco","Saipem","Blast Resistant Modules","Jazan","The scope of work is procurement, manufacturing and supply of blast proof porta-cabins (explosion proof units) for the Jazan project. It also includes provision of chairs and tables for the units for personnel. ","Normal","Completed","Oct-19","Feb-20","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Oil & Gas","Instumentation Works for Petrorabigh Refining & Petrochemical Company (PRC) T/A 2020 Project","Petro Rabigh","GS E & C","Plant Services","Yanbu","The project scope is Instrumentation works during the PRC T/A-2020. Activities such as: Grounding & Lighting Work, Cable Installation, Installation of Electrical Heater, Cathodic Protection Inspection, MOV Cable Disconnection & Connection, Replacement of the Instrument, Replacement of the Tubes, Installation of Tubes, Checking of Junction Boxes & Hand Switches, IWS & EWR and Loop Checking includes in the package. ","Normal","Ongoing","Oct-19","Apr-20","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/31.png"
"Petrochemical","SF2 Replacement of Ammonia Vaporizer, Ammonia Heater & Chill Water Heater, SP-184000041 ","SABIC","SAFCO","Heat Exchanger Maintenance Services","Jubail","The project scope is Procurement of materials, fabrication, testing and supply of 03 Nos. of FABRICATION & SUPPLY OF CHILLER WATER HEATER(5-E-104), AMMONIA HEATER (5-E-103) AND AMMONIA VAPORIZER (5-E-102B) like-to-like (RIK) as per provided drawings and datasheet by SAFCO. ","Normal","Ongoing","Oct-19","Mar-20","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/17.png"
"Petrochemical","RIK for Tube Bundle - Cracked Gas Compressor 1st stage 11E12B at Ethylene Plant","SABIC","SADAF","Heat Exchanger Maintenance Services","Jubail","The project scope is Procurement of materials, fabrication, testing, design and supply for Tube Bundle for Cracked Gas compressor first stage (11-E-23B) with all materials, consumables, tools   like-to-like as per provided drawings and datasheet by SADAF. ","Normal","Ongoing","Oct-19","Dec-19","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/3.png"
"Mining & Minerals","Supply of Shell and Tube Heat Exchangers ","MA'ADEN","Ma'aden Aluminium","Heat Exchanger Maintenance Services","Jubail","The SOW includes Procurement of materials, fabrication & manufacturing of Heat Exchangers as per TEMA / ASME sec VIII Div. 1., Painting works,  Inspection and testing,  100% UT of forgings for tube sheet before drilling/machining,  100% DPT of tube sheet after drilling/ machining, Tube-to-tube sheet joints as per drawings/data sheets provideed by MAC. ","Normal","Ongoing","Oct-19","Apr-20","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/20.png"
"Oil & Gas","LSTK for Supply of Manpower and Auxiliary Equipments for Danieli deficiency jobs for SPLP-II during TA-19","SABIC","Hadeed","Plant Services","Jubail","The LSTK job includes: Supply of skilled/Semi skilled mechanical fitters, electricians, welder, fabricators, riggers 
and helpers, and Supply of lifting equipment and welding machines. The activities are to be carried out in Continuous Casting Machine (CCM), LF CaSi wire feeding system, LF alloy belt NBC06, EAF DRI feeding belts (RBC01 and EBC01). ","Normal","Completed","Sep-19","Oct-19","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/16.png"
"Oil & Gas","Emergency Shutdown In Gas Phase-8","SABIC","Gas Jubail","Plant Services","Jubail","The SOW includes several activities for DCAC Chilled water distributior damage such as: 
- All nozzles removal, hydro-jet cleaning, insopection & installation. 
- Main distributor header disconnection, repaired, hydro-jet cleaning and installation. 
- Operating pressure leak test done after above mentioned activities. 
- One leaked nozzle repaired and install back. ","Normal","Completed","Aug-19","Aug-19","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/14.png"
